student_id,attendance_pct,avg_marks,study_hours_per_week,assignments_submitted,previous_grade,outcome
1,81,66.6,11,9,79.6,Pass
2,44,7.399999999999999,10,0,0.3999999999999986,Fail
3,90,36.0,2,7,27.0,Pass
4,50,46.0,10,4,31.0,Pass
5,53,27.799999999999997,1,3,14.799999999999997,Fail
6,32,0.1999999999999993,8,7,0.0,Fail
7,51,11.599999999999998,1,6,23.599999999999998,Fail
8,82,56.199999999999996,9,1,70.19999999999999,Pass
9,31,20.599999999999998,11,0,29.599999999999998,Fail
10,59,51.4,6,10,63.4,Pass
11,67,51.199999999999996,7,3,52.199999999999996,Pass
12,31,30.599999999999998,13,7,39.599999999999994,Fail
13,93,35.8,10,1,43.8,Pass
14,89,51.4,7,2,36.4,Pass
15,50,11.0,10,0,1.0,Fail
16,62,42.199999999999996,3,0,47.199999999999996,Fail
17,87,63.199999999999996,2,2,53.199999999999996,Pass
18,51,15.599999999999998,9,10,25.599999999999998,Fail
19,78,57.8,8,4,53.8,Pass
20,88,35.8,13,2,32.8,Fail
21,71,32.6,12,0,29.6,Fail
22,89,49.4,10,0,62.4,Pass
23,44,43.4,7,7,42.4,Fail
24,91,57.6,9,9,62.6,Pass
25,91,38.6,4,10,38.6,Pass
26,76,58.6,13,1,64.6,Fail
27,91,39.6,4,2,44.6,Fail
28,80,49.0,1,1,44.0,Pass
29,84,40.4,8,2,52.4,Pass
30,93,50.8,14,6,39.8,Pass
31,32,31.2,14,0,19.2,Fail
32,80,36.0,12,9,23.0,Fail
33,36,6.599999999999998,3,7,9.599999999999998,Fail
34,50,25.0,7,9,29.0,Fail
35,68,48.8,12,9,57.8,Pass
36,47,10.2,2,9,12.2,Fail
37,33,18.8,2,1,17.8,Fail
38,89,68.4,7,2,61.400000000000006,Pass
39,43,23.8,6,8,24.8,Fail
40,38,27.8,3,6,25.8,Fail
41,82,31.199999999999996,9,3,30.199999999999996,Fail
42,31,16.599999999999998,10,9,1.5999999999999979,Fail
43,89,52.4,14,4,57.4,Pass
44,73,54.8,13,1,60.8,Pass
45,37,8.2,6,10,14.2,Fail
46,76,57.6,10,7,44.6,Pass
47,64,57.4,10,3,57.4,Pass
48,65,57.0,6,8,64.0,Pass
49,79,44.4,1,4,53.4,Fail
50,33,38.8,4,8,33.8,Fail
51,31,0.0,10,3,0.0,Fail
52,35,11.0,6,9,5.0,Fail
53,83,56.8,6,4,56.8,Pass
54,33,23.8,11,8,15.8,Fail
55,83,51.8,12,7,41.8,Pass
56,92,65.19999999999999,5,2,61.19999999999999,Pass
57,47,37.2,1,0,45.2,Fail
58,73,57.8,8,2,69.8,Pass
59,63,23.799999999999997,5,3,28.799999999999997,Fail
60,91,49.6,12,1,41.6,Fail
61,43,30.8,12,0,40.8,Fail
62,77,27.199999999999996,12,6,39.199999999999996,Fail
63,44,6.399999999999999,5,7,0.0,Fail
64,91,45.6,7,6,55.6,Fail
65,69,25.4,4,4,17.4,Pass
66,82,65.19999999999999,6,0,75.19999999999999,Pass
67,53,42.8,13,6,54.8,Fail
68,55,21.0,4,6,23.0,Fail
69,89,67.4,14,8,79.4,Pass
70,70,40.0,3,2,52.0,Fail
71,58,29.799999999999997,7,8,18.799999999999997,Fail
72,44,8.399999999999999,8,0,1.3999999999999986,Fail
73,74,43.4,4,0,31.4,Fail
74,94,59.4,13,3,70.4,Pass
75,38,34.8,2,8,40.8,Fail
76,30,21.0,12,5,22.0,Fail
77,37,12.2,10,10,5.199999999999999,Fail
78,92,42.199999999999996,14,2,27.199999999999996,Fail
79,40,39.0,3,0,44.0,Fail
80,37,39.2,1,3,43.2,Fail
81,64,57.4,8,8,54.4,Fail
82,64,37.4,3,2,49.4,Fail
83,62,51.199999999999996,12,8,51.199999999999996,Fail
84,34,24.4,10,6,37.4,Fail
85,70,56.0,7,3,53.0,Pass
86,57,38.199999999999996,10,2,36.199999999999996,Fail
87,36,29.599999999999998,5,9,16.599999999999998,Fail
88,41,21.599999999999998,10,4,34.599999999999994,Fail
89,63,34.8,5,4,24.799999999999997,Fail
90,62,18.199999999999996,14,2,20.199999999999996,Fail
91,77,60.199999999999996,7,8,63.199999999999996,Pass
92,52,26.2,9,3,15.2,Fail
93,91,69.6,12,10,68.6,Pass
94,66,51.6,5,4,60.6,Pass
95,73,26.799999999999997,1,3,12.799999999999997,Fail
96,64,50.4,10,4,44.4,Fail
97,94,49.4,10,6,57.4,Pass
98,76,45.6,1,8,59.6,Fail
99,32,18.2,2,6,20.2,Fail
100,30,5.0,14,4,16.0,Fail
101,34,6.399999999999999,6,9,3.3999999999999986,Fail
102,43,7.800000000000001,9,9,0.0,Fail
103,56,29.6,8,6,36.6,Fail
104,38,34.8,13,9,42.8,Fail
105,44,17.4,5,4,2.3999999999999986,Fail
106,71,43.6,1,2,49.6,Fail
107,80,49.0,13,6,34.0,Fail
108,92,64.19999999999999,7,10,66.19999999999999,Pass
109,81,65.6,5,10,64.6,Pass
110,33,36.8,6,1,37.8,Fail
111,52,18.2,13,8,13.2,Fail
112,44,32.4,7,9,37.4,Fail
113,72,49.199999999999996,3,9,59.199999999999996,Pass
114,58,47.8,12,0,56.8,Fail
115,65,39.0,10,5,45.0,Fail
116,42,34.2,3,6,45.2,Fail
117,61,48.6,5,7,59.6,Fail
118,88,59.8,6,9,60.8,Pass
119,57,46.199999999999996,9,8,43.199999999999996,Fail
120,95,41.0,13,1,26.0,Fail
121,71,40.6,14,10,26.6,Pass
122,74,27.4,12,9,20.4,Fail
123,91,68.6,5,1,55.599999999999994,Pass
124,86,47.6,1,4,32.6,Fail
125,35,28.0,14,4,33.0,Fail
126,57,43.199999999999996,14,5,43.199999999999996,Fail
127,57,42.199999999999996,14,2,49.199999999999996,Fail
128,73,28.799999999999997,4,7,18.799999999999997,Fail
129,59,49.4,5,0,61.4,Fail
130,91,70.6,12,5,71.6,Pass
131,91,57.6,10,3,46.6,Fail
132,30,26.0,10,0,15.0,Fail
133,56,43.6,5,6,33.6,Fail
134,91,68.6,7,8,55.599999999999994,Pass
135,32,31.2,4,3,36.2,Pass
136,99,59.4,1,3,66.4,Pass
137,56,44.6,14,5,33.6,Fail
138,38,24.8,14,2,29.8,Fail
139,91,66.6,5,5,55.599999999999994,Pass
140,66,21.6,7,6,15.600000000000001,Fail
141,80,45.0,10,10,39.0,Pass
142,73,47.8,10,9,50.8,Pass
143,53,41.8,6,9,42.8,Fail
144,88,34.8,5,2,39.8,Pass
145,61,55.6,4,6,53.6,Fail
146,81,51.6,2,2,44.6,Fail
147,91,65.6,4,1,63.599999999999994,Pass
148,87,53.199999999999996,10,9,38.199999999999996,Pass
149,81,50.6,10,3,53.6,Pass
150,41,5.599999999999998,3,7,2.599999999999998,Fail
